AlphaNet(
  (ts_cov10): Cov()
  (ts_corr10): Corr()
  (ts_stddev10): StdDev()
  (ts_zscore10): ZScore()
  (ts_return10): Return()
  (ts_decaylinear10): DecayLinear()
  (bn): BatchNorm2d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling): Pooling()
  (flatten): Flatten()
  (fc1): Linear(in_features=648, out_features=30, bias=True)
  (fc2): Linear(in_features=30, out_features=1, bias=True)
  (relu): ReLU(inplace=True)
  (dropout): Dropout(p=0.5, inplace=False)
)
2021-11-18 10:06:43
[training] epoch: 1, step: 1, loss: 6.246111869812012
[training] epoch: 1, step: 2, loss: 8.407965660095215
[training] epoch: 1, step: 3, loss: 5.542971134185791
[training] epoch: 1, step: 4, loss: 8.250784873962402
[training] epoch: 1, step: 5, loss: 3.7513720989227295
[training] epoch: 1, step: 6, loss: 3.366875171661377
[training] epoch: 1, step: 7, loss: 24.381330490112305
[training] epoch: 1, step: 8, loss: 14.365534782409668
[training] epoch: 1, step: 9, loss: 6.155680179595947
[training] epoch: 1, step: 10, loss: 2.2634658813476562
[training] epoch: 1, step: 11, loss: 2.9971327781677246
[training] epoch: 1, step: 12, loss: 4.193469524383545
[training] epoch: 1, step: 13, loss: 4.704639911651611
[training] epoch: 1, step: 14, loss: 7.778383255004883
[training] epoch: 1, step: 15, loss: 3.3704216480255127
[training] epoch: 1, step: 16, loss: 7.246901988983154
[training] epoch: 1, step: 17, loss: 2.958944797515869
[training] epoch: 1, step: 18, loss: 7.337216854095459
[training] epoch: 1, step: 19, loss: 3.1561741828918457
[training] epoch: 1, step: 20, loss: 4.710407733917236
[training] epoch: 1, step: 21, loss: 14.557076454162598
[training] epoch: 1, step: 22, loss: 27.17815399169922
[training] epoch: 1, step: 23, loss: 7.260868549346924
[training] epoch: 1, step: 24, loss: 3.688995122909546
[training] epoch: 1, step: 25, loss: 4.44578742980957
[training] epoch: 1, step: 26, loss: 5.319165229797363
[training] epoch: 1, step: 27, loss: 4.998382091522217
[training] epoch: 1, step: 28, loss: 4.931140899658203
[training] epoch: 1, step: 29, loss: 2.891972541809082
[training] epoch: 1, step: 30, loss: 7.572535514831543
[training] epoch: 1, step: 31, loss: 6.75262975692749
[training] epoch: 1, step: 32, loss: 7.802242755889893
[training] epoch: 1, step: 33, loss: 5.277048587799072
[training] epoch: 1, step: 34, loss: 6.819446086883545
[training] epoch: 1, step: 35, loss: 5.533454895019531
[training] epoch: 1, step: 36, loss: 27.667282104492188
[training] epoch: 1, step: 37, loss: 18.811092376708984
[training] epoch: 1, step: 38, loss: 5.926427841186523
[training] epoch: 1, step: 39, loss: 14.285446166992188
[training] epoch: 1, step: 40, loss: 8.09758472442627
[training] epoch: 1, step: 41, loss: 7.196376323699951
[training] epoch: 1, step: 42, loss: 4.293256759643555
[training] epoch: 1, step: 43, loss: 8.064183235168457
[training] epoch: 1, step: 44, loss: 2.9877707958221436
[training] epoch: 1, step: 45, loss: 2.655787467956543
[training] epoch: 1, step: 46, loss: 1.9613168239593506
[training] epoch: 1, step: 47, loss: 4.027525424957275
[training] epoch: 1, step: 48, loss: 1.0634584426879883
[training] epoch: 1, step: 49, loss: 5.977325916290283
[training] epoch: 1, step: 50, loss: 21.90632438659668
[training] epoch: 1, step: 51, loss: 6.18755578994751
[training] epoch: 1, step: 52, loss: 4.159359931945801
[training] epoch: 1, step: 53, loss: 5.68349027633667
[training] epoch: 1, step: 54, loss: 6.461932182312012
[training] epoch: 1, step: 55, loss: 5.015923023223877
[training] epoch: 1, step: 56, loss: 4.52755069732666
[training] epoch: 1, step: 57, loss: 2.7766880989074707
[training] epoch: 1, step: 58, loss: 8.46863079071045
[training] epoch: 1, step: 59, loss: 8.4445161819458
[training] epoch: 1, step: 60, loss: 9.496292114257812
[training] epoch: 1, step: 61, loss: 8.110786437988281
[training] epoch: 1, step: 62, loss: 4.862490177154541
[training] epoch: 1, step: 63, loss: 6.393736839294434
[training] epoch: 1, step: 64, loss: 18.33511734008789
[training] epoch: 1, step: 65, loss: 5.056812763214111
[training] epoch: 1, step: 66, loss: 6.3064422607421875
[training] epoch: 1, step: 67, loss: 4.266031265258789
[training] epoch: 1, step: 68, loss: 5.641338348388672
[training] epoch: 1, step: 69, loss: 8.44504165649414
[training] epoch: 1, step: 70, loss: 6.787998199462891
[training] epoch: 1, step: 71, loss: 9.464917182922363
[training] epoch: 1, step: 72, loss: 4.104493141174316
[training] epoch: 1, step: 73, loss: 3.330319404602051
[training] epoch: 1, step: 74, loss: 3.0667924880981445
[training] epoch: 1, step: 75, loss: 12.411199569702148
[training] epoch: 1, step: 76, loss: 27.655099868774414
[training] epoch: 1, step: 77, loss: 7.330598831176758
[training] epoch: 1, step: 78, loss: 13.997857093811035
[training] epoch: 1, step: 79, loss: 4.362815856933594
[training] epoch: 1, step: 80, loss: 4.585488796234131
[training] epoch: 1, step: 81, loss: 5.757541656494141
[training] epoch: 1, step: 82, loss: 9.90124225616455
[training] epoch: 1, step: 83, loss: 4.030909538269043
[training] epoch: 1, step: 84, loss: 4.692655563354492
[training] epoch: 1, step: 85, loss: 2.606914758682251
[training] epoch: 1, step: 86, loss: 3.765526533126831
[training] epoch: 1, step: 87, loss: 13.93839168548584
[training] epoch: 1, step: 88, loss: 2.165759801864624
[training] epoch: 1, step: 89, loss: 3.6797566413879395
[training] epoch: 1, step: 90, loss: 2.136939764022827
[training] epoch: 1, step: 91, loss: 2.614727735519409
[training] epoch: 1, step: 92, loss: 3.680931329727173
[training] epoch: 1, step: 93, loss: 1.8660922050476074
[training] epoch: 1, step: 94, loss: 4.017737865447998
[training] epoch: 1, step: 95, loss: 3.0057566165924072
[training] epoch: 1, step: 96, loss: 1.9992268085479736
[training] epoch: 1, step: 97, loss: 2.3757569789886475
[training] epoch: 1, step: 98, loss: 2.3249447345733643
