AlphaNet(
  (ts_cov10): Cov()
  (ts_corr10): Corr()
  (ts_stddev10): StdDev()
  (ts_zscore10): ZScore()
  (ts_return10): Return()
  (ts_decaylinear10): DecayLinear()
  (bn): BatchNorm2d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling): Pooling()
  (flatten): Flatten()
  (fc1): Linear(in_features=648, out_features=30, bias=True)
  (fc2): Linear(in_features=30, out_features=1, bias=True)
  (relu): ReLU(inplace=True)
  (dropout): Dropout(p=0.5, inplace=False)
)
2021-11-18 10:00:38
[training] epoch: 1, step: 1, loss: 6.8575544357299805
[training] epoch: 1, step: 2, loss: 4.492549419403076
[training] epoch: 1, step: 3, loss: 8.49130630493164
[training] epoch: 1, step: 4, loss: 1.7401150465011597
[training] epoch: 1, step: 5, loss: 13.572863578796387
[training] epoch: 1, step: 6, loss: 11.337090492248535
[training] epoch: 1, step: 7, loss: 5.986338138580322
[training] epoch: 1, step: 8, loss: 2.7774362564086914
[training] epoch: 1, step: 9, loss: 4.282537460327148
[training] epoch: 1, step: 10, loss: 5.2711920738220215
[training] epoch: 1, step: 11, loss: 6.113866806030273
[training] epoch: 1, step: 12, loss: 6.062529563903809
[training] epoch: 1, step: 13, loss: 3.317859172821045
[training] epoch: 1, step: 14, loss: 7.2479143142700195
[training] epoch: 1, step: 15, loss: 4.811264514923096
[training] epoch: 1, step: 16, loss: 20.996826171875
[training] epoch: 1, step: 17, loss: 15.623283386230469
[training] epoch: 1, step: 18, loss: 3.987410068511963
[training] epoch: 1, step: 19, loss: 4.6631011962890625
[training] epoch: 1, step: 20, loss: 4.119501113891602
[training] epoch: 1, step: 21, loss: 3.765789270401001
[training] epoch: 1, step: 22, loss: 4.254922389984131
[training] epoch: 1, step: 23, loss: 6.6431965827941895
[training] epoch: 1, step: 24, loss: 9.801883697509766
[training] epoch: 1, step: 25, loss: 6.137552738189697
[training] epoch: 1, step: 26, loss: 4.716704368591309
[training] epoch: 1, step: 27, loss: 20.240966796875
[training] epoch: 1, step: 28, loss: 15.544028282165527
[training] epoch: 1, step: 29, loss: 10.556812286376953
[training] epoch: 1, step: 30, loss: 8.404484748840332
[training] epoch: 1, step: 31, loss: 7.1566667556762695
[training] epoch: 1, step: 32, loss: 6.222928524017334
[training] epoch: 1, step: 33, loss: 3.5415730476379395
[training] epoch: 1, step: 34, loss: 2.3092756271362305
[training] epoch: 1, step: 35, loss: 3.5851519107818604
[training] epoch: 1, step: 36, loss: 1.5275905132293701
[training] epoch: 1, step: 37, loss: 14.949917793273926
[training] epoch: 1, step: 38, loss: 12.935990333557129
[training] epoch: 1, step: 39, loss: 3.1052823066711426
[training] epoch: 1, step: 40, loss: 6.670767784118652
[training] epoch: 1, step: 41, loss: 5.043032646179199
[training] epoch: 1, step: 42, loss: 3.0968587398529053
[training] epoch: 1, step: 43, loss: 6.145453929901123
[training] epoch: 1, step: 44, loss: 7.370630741119385
[training] epoch: 1, step: 45, loss: 8.570411682128906
[training] epoch: 1, step: 46, loss: 7.512022495269775
[training] epoch: 1, step: 47, loss: 3.1573266983032227
[training] epoch: 1, step: 48, loss: 17.448843002319336
[training] epoch: 1, step: 49, loss: 6.203976154327393
[training] epoch: 1, step: 50, loss: 7.061685085296631
[training] epoch: 1, step: 51, loss: 4.762063503265381
[training] epoch: 1, step: 52, loss: 7.912299633026123
[training] epoch: 1, step: 53, loss: 8.509321212768555
[training] epoch: 1, step: 54, loss: 6.26959753036499
[training] epoch: 1, step: 55, loss: 3.045123815536499
[training] epoch: 1, step: 56, loss: 6.812973976135254
[training] epoch: 1, step: 57, loss: 25.51190757751465
[training] epoch: 1, step: 58, loss: 5.373148441314697
[training] epoch: 1, step: 59, loss: 10.439804077148438
[training] epoch: 1, step: 60, loss: 2.911168098449707
[training] epoch: 1, step: 61, loss: 6.137105464935303
[training] epoch: 1, step: 62, loss: 5.995744228363037
[training] epoch: 1, step: 63, loss: 3.883793354034424
[training] epoch: 1, step: 64, loss: 2.631566286087036
[training] epoch: 1, step: 65, loss: 8.71997356414795
[training] epoch: 1, step: 66, loss: 6.172261714935303
[training] epoch: 1, step: 67, loss: 3.576286554336548
[training] epoch: 1, step: 68, loss: 1.7524837255477905
[training] epoch: 1, step: 69, loss: 2.784061908721924
[training] epoch: 1, step: 70, loss: 2.5926930904388428
[training] epoch: 1, step: 71, loss: 4.029307842254639
[training] epoch: 1, step: 72, loss: 1.736579179763794
[training] epoch: 1, step: 73, loss: 2.1795687675476074
[training] epoch: 1, step: 74, loss: 3.8771259784698486
[training] epoch: 1, step: 75, loss: 6.733842372894287
[training] epoch: 1, step: 76, loss: 14.969316482543945
[training] epoch: 1, step: 77, loss: 3.4369394779205322
[training] epoch: 1, step: 78, loss: 9.036391258239746
[training] epoch: 1, step: 79, loss: 2.3847248554229736
[training] epoch: 1, step: 80, loss: 3.5516295433044434
[training] epoch: 1, step: 81, loss: 2.0315258502960205
[training] epoch: 1, step: 82, loss: 3.660731554031372
[training] epoch: 1, step: 83, loss: 3.0692832469940186
[training] epoch: 1, step: 84, loss: 2.0704028606414795
[training] epoch: 1, step: 85, loss: 1.3549326658248901
[training] epoch: 1, step: 86, loss: 13.24841022491455
[training] epoch: 1, step: 87, loss: 30.83360481262207
[training] epoch: 1, step: 88, loss: 5.845339775085449
[training] epoch: 1, step: 89, loss: 12.83313274383545
[training] epoch: 1, step: 90, loss: 8.807040214538574
[training] epoch: 1, step: 91, loss: 5.898525714874268
[training] epoch: 1, step: 92, loss: 9.25123405456543
[training] epoch: 1, step: 93, loss: 9.377144813537598
[training] epoch: 1, step: 94, loss: 13.077051162719727
[training] epoch: 1, step: 95, loss: 4.974888801574707
[training] epoch: 1, step: 96, loss: 14.128045082092285
[training] epoch: 1, step: 97, loss: 16.994094848632812
