AlphaNet(
  (ts_cov10): Cov()
  (ts_corr10): Corr()
  (ts_stddev10): StdDev()
  (ts_zscore10): ZScore()
  (ts_return10): Return()
  (ts_decaylinear10): DecayLinear()
  (bn): BatchNorm2d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (pooling): Pooling()
  (flatten): Flatten()
  (fc1): Linear(in_features=648, out_features=30, bias=True)
  (fc2): Linear(in_features=30, out_features=1, bias=True)
  (relu): ReLU(inplace=True)
  (dropout): Dropout(p=0.5, inplace=False)
)
2021-11-18 09:50:32
[training] epoch: 1, step: 1, loss: 6.693221092224121
[training] epoch: 1, step: 2, loss: 4.571562767028809
[training] epoch: 1, step: 3, loss: 8.525958061218262
[training] epoch: 1, step: 4, loss: 1.7662094831466675
[training] epoch: 1, step: 5, loss: 13.6146879196167
[training] epoch: 1, step: 6, loss: 11.170788764953613
[training] epoch: 1, step: 7, loss: 5.984275817871094
[training] epoch: 1, step: 8, loss: 2.832967758178711
[training] epoch: 1, step: 9, loss: 4.208780765533447
[training] epoch: 1, step: 10, loss: 5.371038436889648
[training] epoch: 1, step: 11, loss: 6.05278205871582
[training] epoch: 1, step: 12, loss: 6.099595069885254
[training] epoch: 1, step: 13, loss: 3.387664794921875
[training] epoch: 1, step: 14, loss: 7.056273460388184
[training] epoch: 1, step: 15, loss: 4.573274612426758
[training] epoch: 1, step: 16, loss: 21.267187118530273
[training] epoch: 1, step: 17, loss: 15.695993423461914
[training] epoch: 1, step: 18, loss: 4.059343338012695
[training] epoch: 1, step: 19, loss: 4.809078216552734
[training] epoch: 1, step: 20, loss: 4.193655967712402
[training] epoch: 1, step: 21, loss: 3.9367551803588867
[training] epoch: 1, step: 22, loss: 4.354442119598389
[training] epoch: 1, step: 23, loss: 6.6242570877075195
[training] epoch: 1, step: 24, loss: 9.883259773254395
[training] epoch: 1, step: 25, loss: 6.135782718658447
[training] epoch: 1, step: 26, loss: 5.224649429321289
[training] epoch: 1, step: 27, loss: 20.471147537231445
[training] epoch: 1, step: 28, loss: 15.44582462310791
[training] epoch: 1, step: 29, loss: 10.556418418884277
[training] epoch: 1, step: 30, loss: 8.808029174804688
[training] epoch: 1, step: 31, loss: 7.1323652267456055
[training] epoch: 1, step: 32, loss: 6.053699493408203
[training] epoch: 1, step: 33, loss: 3.4631640911102295
[training] epoch: 1, step: 34, loss: 2.181087017059326
[training] epoch: 1, step: 35, loss: 3.63309645652771
[training] epoch: 1, step: 36, loss: 1.5002251863479614
[training] epoch: 1, step: 37, loss: 15.175492286682129
[training] epoch: 1, step: 38, loss: 12.965554237365723
[training] epoch: 1, step: 39, loss: 3.02386736869812
[training] epoch: 1, step: 40, loss: 6.739635467529297
[training] epoch: 1, step: 41, loss: 5.100199222564697
[training] epoch: 1, step: 42, loss: 3.1589138507843018
[training] epoch: 1, step: 43, loss: 6.000677585601807
[training] epoch: 1, step: 44, loss: 7.341843605041504
[training] epoch: 1, step: 45, loss: 8.548920631408691
[training] epoch: 1, step: 46, loss: 7.760700702667236
[training] epoch: 1, step: 47, loss: 3.319208860397339
[training] epoch: 1, step: 48, loss: 17.892295837402344
[training] epoch: 1, step: 49, loss: 6.1142964363098145
[training] epoch: 1, step: 50, loss: 7.061173439025879
[training] epoch: 1, step: 51, loss: 4.822601318359375
[training] epoch: 1, step: 52, loss: 8.131828308105469
[training] epoch: 1, step: 53, loss: 8.469600677490234
[training] epoch: 1, step: 54, loss: 6.387270450592041
[training] epoch: 1, step: 55, loss: 3.111938238143921
[training] epoch: 1, step: 56, loss: 6.931537628173828
[training] epoch: 1, step: 57, loss: 25.156217575073242
[training] epoch: 1, step: 58, loss: 5.38669490814209
[training] epoch: 1, step: 59, loss: 10.478007316589355
[training] epoch: 1, step: 60, loss: 2.8919920921325684
[training] epoch: 1, step: 61, loss: 6.0784382820129395
[training] epoch: 1, step: 62, loss: 6.209081649780273
[training] epoch: 1, step: 63, loss: 3.969346761703491
[training] epoch: 1, step: 64, loss: 2.620687484741211
[training] epoch: 1, step: 65, loss: 8.8446044921875
[training] epoch: 1, step: 66, loss: 6.232419013977051
[training] epoch: 1, step: 67, loss: 3.6911590099334717
[training] epoch: 1, step: 68, loss: 1.7305161952972412
[training] epoch: 1, step: 69, loss: 3.039055347442627
[training] epoch: 1, step: 70, loss: 2.6792664527893066
[training] epoch: 1, step: 71, loss: 4.049225330352783
[training] epoch: 1, step: 72, loss: 1.776769995689392
[training] epoch: 1, step: 73, loss: 2.0967206954956055
[training] epoch: 1, step: 74, loss: 3.836272954940796
[training] epoch: 1, step: 75, loss: 6.8313422203063965
[training] epoch: 1, step: 76, loss: 14.987677574157715
[training] epoch: 1, step: 77, loss: 3.565117359161377
[training] epoch: 1, step: 78, loss: 9.101590156555176
[training] epoch: 1, step: 79, loss: 2.4148213863372803
[training] epoch: 1, step: 80, loss: 3.558579444885254
[training] epoch: 1, step: 81, loss: 2.085829734802246
[training] epoch: 1, step: 82, loss: 3.6220202445983887
[training] epoch: 1, step: 83, loss: 3.057286500930786
[training] epoch: 1, step: 84, loss: 1.9592128992080688
[training] epoch: 1, step: 85, loss: 1.3038020133972168
[training] epoch: 1, step: 86, loss: 13.17633056640625
[training] epoch: 1, step: 87, loss: 30.79366111755371
[training] epoch: 1, step: 88, loss: 6.0001115798950195
[training] epoch: 1, step: 89, loss: 12.575132369995117
[training] epoch: 1, step: 90, loss: 8.86883544921875
[training] epoch: 1, step: 91, loss: 5.929757595062256
[training] epoch: 1, step: 92, loss: 9.464349746704102
[training] epoch: 1, step: 93, loss: 9.363174438476562
[training] epoch: 1, step: 94, loss: 12.909067153930664
[training] epoch: 1, step: 95, loss: 5.111873149871826
[training] epoch: 1, step: 96, loss: 14.138321876525879
[training] epoch: 1, step: 97, loss: 17.195026397705078
[training] epoch: 1, step: 98, loss: 3.761427640914917
